Names,cleavage,larval_type
Adalaria_proxima,1,n
Adula_californiensis,1,t
Amphitrite_ornata,0,t
Ancula_gibbosa,1,n
Aplysia_californica,0,n
Aplysia_limacina,0,n
Armandia_brevis,1,t
Armina_californica,1,n
Bankia_carinata,0,t
Bembicium_nanum,1,n
Biomphalaria_glabrata,1,n
Bithynia_tentaculata,1,n
Bonellia_viridis,1,t
Branchiobdella_parasita,0,n
Bulla_gouldiana,1,n
Busycon_carica,1,n
Calliostoma_ligatum,1,n
Cambarincola_philadelphicus,0,n
Capitella_capitata,0,t
Capitella_teleta,0,t
Cavolina_tridentata,0,n
Cerastoderma_edule,0,n
Chaetogaster_diaphanus,0,n
Chaetopterus_variegatus,0,t
Chiton_marmoratus,1,t
Clymenella_torquata,0,t
Cochlostoma_elegans,1,n
Conuber_incei,1,n
Conus_vexillum,1,n
Crepidula_fornicata,1,n
Cymbulia_peronii,0,n
Cystiscus_minutissimus,1,n
Dendronotus_frondosus,1,n
Doris_montereyensis,1,n
Doto_coronata,1,n
Dreissena_polymorpha,0,n
Eisenia_fetida,0,n
Elliptio_complanata,0,n
Elysia_viridis,1,n
Ennucula_delphinodonta,0,n
Epimenia_australis,1,t
Ercolania_gopalai,1,n
Erpobdella_octoculata,0,n
Facelina_bostoniensis,1,n
Fiona_pinnata,1,n
Firoloida_desmarestia,1,n
Fusitriton_oregonense,1,n
Galeolaria_caespitosa,1,t
Gibbula_magus,1,n
Glossiphonia_complanata,0,n
Glycera_dibranchiata,1,t
Golfingia_vulgaris,0,t
Haliotis_kamtschatkana,1,t
Haloa_japonica,1,n
Hermaea_bifida,1,n
Herpetopoma_gemmatum,1,n
Hiatella_arctica,0,t
Hirudo_medicinalis,0,n
Hydroides_hexagonus,1,t
Ikedosoma_gogoshimense,1,t
Lacuna_pallidula,1,n
Laeonereis_culveri,0,t
Lambis_truncata,1,n
Lanice_cochilega,0,t
Lepidonotus_squamatus,1,t
Limapontia_senestra,1,n
Lissomyema_mellita,1,t
Littorina_littorea,1,n
Lottia_gigantea,1,t
Lumbricillus_lineatus,0,n
Lymnaea_stagnalis,1,n
Lyncina_carneola,1,n
Magallana_gigas,0,t
Marenzelleria_viridis,0,t
Marisa_cornuarietis,1,n
Marsenia_perspicua,1,n
Melibe_leonina,1,n
Mercenaria_mercenaria,0,t
Mytilus_edulis,1,t
Myzostoma_ambiguum,1,t
Neosabellaria_cementarium,1,t
Notomastus_tenuis,1,t
Nucella_lapillus,1,n
Okenia_nodosa,1,n
Onchidella_carpenteri,1,n
Onchidoris_bilamellata,1,n
Palio_nothus,1,n
Pandora_inequivialis,0,t
Patella_vulgata,1,t
Petrasma_pervernicosa,1,n
Phascolosoma_agassizii,0,t
Pholas_dactylus,0,t
Phyllodoce_maculata,0,t
Phylo_foetida,0,t
Physa_fontinalis,1,n
Pila_globosa,1,n
Piscicola_geometra,0,n
Placopecten_magellanicus,1,t
Planorbella_trivolvis,1,n
Platynereis_dumerilii,0,t
Proceraea_fasciata,0,t
Pterotrachea_hippocampus,1,n
Rhynchelmis_limosella,0,n
Rissoa_parva,1,n
Serpula_vermicularis,1,t
Sphaerium_striatinum,0,n
Spirobranchus_triqueter,1,t
Spirorbis_borealis,0,t
Spisula_solidissima,0,t
Stenoplax_heathiana,1,t
Sthenelais_boa,1,t
Stramonita_haemastoma,1,n
Stylaria_sp,0,n
Tectura_scutum,1,t
Teredo_clappi,0,t
Themiste_lageniformis,0,n
Themiste_pyroides,0,n
Theromyzon_rude,0,n
Tomopteris_helgolandica,0,t
Tonna_canaliculata,0,n
Tricornis_tricornis,1,n
Tritonia_tetraquetra,1,n
Tubifex_lineatus,0,n
Tubificoides_benedii,0,n
Turbo_radiatus,1,n
Umbraculum_umbraculum,0,n
Urechis_caupo,1,t
Vermetus_sp,1,n
Viviparus_viviparus,1,n
Yolida_limatula,0,n