Names,egg_size,larval_type
Adalaria_proxima,small,non-troch
Adula_californiensis,small,trochophore
Amphitrite_ornata,small,trochophore
Ancula_gibbosa,small,non-troch
Aplysia_californica,small,non-troch
Aplysia_limacina,small,non-troch
Armandia_brevis,small,trochophore
Armina_californica,small,non-troch
Bankia_carinata,small,trochophore
Bembicium_nanum,small,non-troch
Bithynia_tentaculata,small,non-troch
Bonellia_viridis,large,trochophore
Bulla_gouldiana,small,non-troch
Busycon_carica,large,non-troch
Calliostoma_ligatum,small,non-troch
Capitella_capitata,small,trochophore
Capitella_teleta,small,trochophore
Cavolina_tridentata,small,non-troch
Cerastoderma_edule,small,non-troch
Chaetogaster_diaphanus,large,non-troch
Chaetopterus_variegatus,small,trochophore
Chiton_marmoratus,small,trochophore
Clymenella_torquata,small,trochophore
Cochlostoma_elegans,small,non-troch
Conuber_incei,small,non-troch
Conus_vexillum,small,non-troch
Crepidula_fornicata,small,non-troch
Cymbulia_peronii,small,non-troch
Dendronotus_frondosus,small,non-troch
Doris_montereyensis,small,non-troch
Doto_coronata,small,non-troch
Dreissena_polymorpha,small,non-troch
Eisenia_fetida,small,non-troch
Ennucula_delphinodonta,small,non-troch
Epimenia_australis,large,trochophore
Ercolania_gopalai,small,non-troch
Erpobdella_octoculata,small,non-troch
Fiona_pinnata,small,non-troch
Firoloida_desmarestia,small,non-troch
Fusitriton_oregonense,small,non-troch
Galeolaria_caespitosa,small,trochophore
Gibbula_magus,small,non-troch
Glossiphonia_complanata,large,non-troch
Glycera_dibranchiata,small,trochophore
Golfingia_vulgaris,small,trochophore
Haliotis_kamtschatkana,small,trochophore
Haloa_japonica,small,non-troch
Hermaea_bifida,small,non-troch
Herpetopoma_gemmatum,small,non-troch
Hiatella_arctica,small,trochophore
Hirudo_medicinalis,small,non-troch
Hydroides_hexagonus,small,trochophore
Ikedosoma_gogoshimense,small,trochophore
Lacuna_pallidula,small,non-troch
Laeonereis_culveri,small,trochophore
Lambis_truncata,small,non-troch
Lanice_cochilega,small,trochophore
Lepidonotus_squamatus,small,trochophore
Limapontia_senestra,small,non-troch
Lissomyema_mellita,small,trochophore
Littorina_littorea,small,non-troch
Lumbricillus_lineatus,small,non-troch
Lymnaea_stagnalis,small,non-troch
Lyncina_carneola,small,non-troch
Magallana_gigas,small,trochophore
Marenzelleria_viridis,small,trochophore
Marisa_cornuarietis,small,non-troch
Marsenia_perspicua,small,non-troch
Melibe_leonina,small,non-troch
Mercenaria_mercenaria,small,trochophore
Mytilus_edulis,small,trochophore
Myzostoma_ambiguum,small,trochophore
Neosabellaria_cementarium,small,trochophore
Notomastus_tenuis,small,trochophore
Nucella_lapillus,small,non-troch
Onchidella_carpenteri,small,non-troch
Pandora_inequivialis,small,trochophore
Patella_vulgata,small,trochophore
Petrasma_pervernicosa,small,non-troch
Phascolosoma_agassizii,small,trochophore
Pholas_dactylus,small,trochophore
Phyllodoce_maculata,small,trochophore
Physa_fontinalis,small,non-troch
Pila_globosa,small,non-troch
Piscicola_geometra,small,non-troch
Planorbella_trivolvis,small,non-troch
Platynereis_dumerilii,small,trochophore
Proceraea_fasciata,small,trochophore
Pterotrachea_hippocampus,small,non-troch
Rhynchelmis_limosella,large,non-troch
Rissoa_parva,small,non-troch
Serpula_vermicularis,small,trochophore
Sphaerium_striatinum,small,non-troch
Spirobranchus_triqueter,small,trochophore
Spisula_solidissima,small,trochophore
Stenoplax_heathiana,large,trochophore
Sthenelais_boa,small,trochophore
Stylaria_sp,large,non-troch
Tectura_scutum,small,trochophore
Themiste_lageniformis,small,non-troch
Themiste_pyroides,small,non-troch
Theromyzon_rude,large,non-troch
Tomopteris_helgolandica,large,trochophore
Tonna_canaliculata,large,non-troch
Tricornis_tricornis,large,non-troch
Tritonia_tetraquetra,small,non-troch
Tubifex_lineatus,large,non-troch
Turbo_radiatus,small,non-troch
Umbraculum_umbraculum,small,non-troch
Urechis_caupo,small,trochophore
Viviparus_viviparus,small,non-troch
Yolida_limatula,small,non-troch